Resume,Rank,Recommended Job,Match Count,Match Percentage,Matched Skills,Missing Skills
candidate_0008.pdf,1,Cloud Engineer,3,60.0,"AWS, Linux, Docker","Azure, GCP"
candidate_0008.pdf,2,Data Scientist,3,50.0,"Python, NumPy, Machine Learning","Pandas, Statistics, Scikit-Learn"
candidate_0008.pdf,3,ML Engineer,3,50.0,"Python, Machine Learning, Docker","TensorFlow, PyTorch, Git"
candidate_0008.pdf,4,Site Reliability Engineer,2,50.0,"Linux, Docker","Kubernetes, Cloud Computing"
candidate_0008.pdf,5,Platform Engineer,2,50.0,"Docker, Linux","Kubernetes, CI/CD"
candidate_0009.pdf,1,Software Engineer,3,42.86,"Python, Java, OOP","C++, DSA, Git, System Design"
candidate_0009.pdf,2,Data Engineer,2,33.33,"Python, Hadoop","SQL, Spark, ETL, Airflow"
candidate_0009.pdf,3,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0009.pdf,4,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0009.pdf,5,Automation Test Engineer,1,33.33,Python,"Selenium, Automation Testing"
candidate_0010.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0010.pdf,2,Business Analyst,3,60.0,"SQL, Power BI, Tableau","Excel, Business Analytics"
candidate_0010.pdf,3,Data Analyst,4,57.14,"SQL, Power BI, Tableau, Pandas","Python, Excel, Statistics"
candidate_0010.pdf,4,Senior Data Analyst,3,50.0,"SQL, Power BI, Tableau","Python, Statistics, Business Analytics"
candidate_0010.pdf,5,Frontend Developer,2,40.0,"HTML, CSS","JavaScript, React, Git"
candidate_0011.pdf,1,Senior Data Analyst,3,50.0,"Python, Power BI, Tableau","SQL, Statistics, Business Analytics"
candidate_0011.pdf,2,Data Scientist,3,50.0,"Python, NumPy, Machine Learning","Pandas, Statistics, Scikit-Learn"
candidate_0011.pdf,3,Data Engineer,3,50.0,"Python, Spark, Hadoop","SQL, ETL, Airflow"
candidate_0011.pdf,4,Data Analyst,3,42.86,"Python, Power BI, Tableau","SQL, Excel, Pandas, Statistics"
candidate_0011.pdf,5,Business Analyst,2,40.0,"Power BI, Tableau","Excel, SQL, Business Analytics"
candidate_0012.pdf,1,Data Engineer,3,50.0,"Python, SQL, Hadoop","Spark, ETL, Airflow"
candidate_0012.pdf,2,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0012.pdf,3,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0012.pdf,4,Data Analyst,3,42.86,"Python, SQL, Pandas","Excel, Power BI, Tableau, Statistics"
candidate_0012.pdf,5,Product Analyst,2,40.0,"SQL, Python","Product Analytics, Statistics, A/B Testing"
candidate_0013.pdf,1,Data Analyst,3,42.86,"Python, Excel, Power BI","SQL, Tableau, Pandas, Statistics"
candidate_0013.pdf,2,Business Analyst,2,40.0,"Excel, Power BI","SQL, Tableau, Business Analytics"
candidate_0013.pdf,3,MLOps Engineer,2,40.0,"Python, Docker","Kubernetes, MLOps, CI/CD"
candidate_0013.pdf,4,Senior Data Analyst,2,33.33,"Python, Power BI","SQL, Tableau, Statistics, Business Analytics"
candidate_0013.pdf,5,Data Scientist,2,33.33,"Python, NumPy","Pandas, Machine Learning, Statistics, Scikit-Learn"
candidate_0014.pdf,1,Business Analyst,2,40.0,"SQL, Tableau","Excel, Power BI, Business Analytics"
candidate_0014.pdf,2,Senior Data Analyst,2,33.33,"SQL, Tableau","Python, Power BI, Statistics, Business Analytics"
candidate_0014.pdf,3,ML Engineer,2,33.33,"Machine Learning, Git","Python, TensorFlow, PyTorch, Docker"
candidate_0014.pdf,4,iOS Developer,1,33.33,Git,"Swift, API Development"
candidate_0014.pdf,5,Database Engineer,1,33.33,SQL,"PostgreSQL, Data Warehousing"
candidate_0015.pdf,1,Frontend Developer,2,40.0,"HTML, CSS","JavaScript, React, Git"
candidate_0015.pdf,2,Data Scientist,2,33.33,"Pandas, Machine Learning","Python, NumPy, Statistics, Scikit-Learn"
candidate_0015.pdf,3,Full Stack Developer,2,33.33,"HTML, CSS","JavaScript, React, Node.js, MongoDB"
candidate_0015.pdf,4,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0015.pdf,5,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0016.pdf,1,Frontend Developer,3,60.0,"HTML, JavaScript, Git","CSS, React"
candidate_0016.pdf,2,Data Scientist,2,33.33,"Pandas, Machine Learning","Python, NumPy, Statistics, Scikit-Learn"
candidate_0016.pdf,3,ML Engineer,2,33.33,"Machine Learning, Git","Python, TensorFlow, PyTorch, Docker"
candidate_0016.pdf,4,Full Stack Developer,2,33.33,"HTML, JavaScript","CSS, React, Node.js, MongoDB"
candidate_0016.pdf,5,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0017.pdf,1,Data Engineer,2,33.33,"SQL, Spark","Python, Hadoop, ETL, Airflow"
candidate_0017.pdf,2,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0017.pdf,3,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0017.pdf,4,Database Engineer,1,33.33,SQL,"PostgreSQL, Data Warehousing"
candidate_0017.pdf,5,Technical Product Manager,1,33.33,SQL,"Product Analytics, Leadership"
candidate_0018.pdf,1,Software Engineer,3,42.86,"Java, C++, OOP","Python, DSA, Git, System Design"
candidate_0018.pdf,2,Big Data Engineer,2,40.0,"Spark, Hadoop","Kafka, Scala, Big Data"
candidate_0018.pdf,3,Data Engineer,2,33.33,"Spark, Hadoop","Python, SQL, ETL, Airflow"
candidate_0018.pdf,4,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0018.pdf,5,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0019.pdf,1,Database Engineer,1,33.33,SQL,"PostgreSQL, Data Warehousing"
candidate_0019.pdf,2,Technical Product Manager,1,33.33,SQL,"Product Analytics, Leadership"
candidate_0019.pdf,3,QA Engineer,1,33.33,SQL,"Testing, Problem Solving"
candidate_0019.pdf,4,BI Developer,1,33.33,SQL,"Power BI, Data Visualization"
candidate_0019.pdf,5,Analytics Engineer,1,25.0,SQL,"Data Warehousing, ETL, Python"
candidate_0020.pdf,1,Frontend Developer,3,60.0,"HTML, CSS, JavaScript","React, Git"
candidate_0020.pdf,2,Full Stack Developer,3,50.0,"HTML, CSS, JavaScript","React, Node.js, MongoDB"
candidate_0020.pdf,3,Big Data Engineer,2,40.0,"Spark, Hadoop","Kafka, Scala, Big Data"
candidate_0020.pdf,4,Data Engineer,2,33.33,"Spark, Hadoop","Python, SQL, ETL, Airflow"
candidate_0020.pdf,5,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0021.pdf,1,Cloud Engineer,3,60.0,"AWS, Linux, Docker","Azure, GCP"
candidate_0021.pdf,2,Site Reliability Engineer,2,50.0,"Linux, Docker","Kubernetes, Cloud Computing"
candidate_0021.pdf,3,Platform Engineer,2,50.0,"Docker, Linux","Kubernetes, CI/CD"
candidate_0021.pdf,4,DevOps Engineer,2,40.0,"Docker, Linux","Kubernetes, CI/CD, Jenkins"
candidate_0021.pdf,5,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0022.pdf,1,MLOps Engineer,2,40.0,"Python, Docker","Kubernetes, MLOps, CI/CD"
candidate_0022.pdf,2,ML Engineer,2,33.33,"Python, Docker","Machine Learning, TensorFlow, PyTorch, Git"
candidate_0022.pdf,3,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0022.pdf,4,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0022.pdf,5,Automation Test Engineer,1,33.33,Python,"Selenium, Automation Testing"
candidate_0023.pdf,1,Data Analyst,3,42.86,"SQL, Tableau, Pandas","Python, Excel, Power BI, Statistics"
candidate_0023.pdf,2,Business Analyst,2,40.0,"SQL, Tableau","Excel, Power BI, Business Analytics"
candidate_0023.pdf,3,Frontend Developer,2,40.0,"HTML, JavaScript","CSS, React, Git"
candidate_0023.pdf,4,Senior Data Analyst,2,33.33,"SQL, Tableau","Python, Power BI, Statistics, Business Analytics"
candidate_0023.pdf,5,Full Stack Developer,2,33.33,"HTML, JavaScript","CSS, React, Node.js, MongoDB"
candidate_0024.pdf,1,Data Engineer,3,50.0,"Python, SQL, Spark","Hadoop, ETL, Airflow"
candidate_0024.pdf,2,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0024.pdf,3,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0024.pdf,4,Product Analyst,2,40.0,"SQL, Python","Product Analytics, Statistics, A/B Testing"
candidate_0024.pdf,5,Backend Developer,2,40.0,"Python, SQL","Django, FastAPI, REST API"
candidate_0025.pdf,1,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0025.pdf,2,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0025.pdf,3,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0025.pdf,4,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0025.pdf,5,Ethical Hacker,1,33.33,Linux,"Penetration Testing, Cybersecurity"
candidate_0026.pdf,1,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0026.pdf,2,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0026.pdf,3,Ethical Hacker,1,33.33,Linux,"Penetration Testing, Cybersecurity"
candidate_0026.pdf,4,Database Engineer,1,33.33,SQL,"PostgreSQL, Data Warehousing"
candidate_0026.pdf,5,Technical Product Manager,1,33.33,SQL,"Product Analytics, Leadership"
candidate_0027.pdf,1,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0027.pdf,2,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0027.pdf,3,Financial Analyst,2,50.0,"Excel, SQL","Financial Analysis, Statistics"
candidate_0027.pdf,4,Data Analyst,3,42.86,"Python, SQL, Excel","Power BI, Tableau, Pandas, Statistics"
candidate_0027.pdf,5,Business Analyst,2,40.0,"Excel, SQL","Power BI, Tableau, Business Analytics"
candidate_0028.pdf,1,Cloud Engineer,3,60.0,"AWS, Linux, Docker","Azure, GCP"
candidate_0028.pdf,2,Site Reliability Engineer,2,50.0,"Linux, Docker","Kubernetes, Cloud Computing"
candidate_0028.pdf,3,Platform Engineer,2,50.0,"Docker, Linux","Kubernetes, CI/CD"
candidate_0028.pdf,4,Business Analyst,2,40.0,"Power BI, Tableau","Excel, SQL, Business Analytics"
candidate_0028.pdf,5,DevOps Engineer,2,40.0,"Docker, Linux","Kubernetes, CI/CD, Jenkins"
candidate_0029.pdf,1,Software Engineer,5,71.43,"Python, Java, C++, OOP, Git","DSA, System Design"
candidate_0029.pdf,2,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0029.pdf,3,Data Analyst,4,57.14,"Python, SQL, Power BI, Pandas","Excel, Tableau, Statistics"
candidate_0029.pdf,4,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0029.pdf,5,Data Engineer,3,50.0,"Python, SQL, Hadoop","Spark, ETL, Airflow"
candidate_0030.pdf,1,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0030.pdf,2,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0030.pdf,3,Ethical Hacker,1,33.33,Linux,"Penetration Testing, Cybersecurity"
candidate_0030.pdf,4,Database Engineer,1,33.33,SQL,"PostgreSQL, Data Warehousing"
candidate_0030.pdf,5,Technical Product Manager,1,33.33,SQL,"Product Analytics, Leadership"
candidate_0031.pdf,1,Software Engineer,4,57.14,"Python, Java, C++, OOP","DSA, Git, System Design"
candidate_0031.pdf,2,Data Analyst,3,42.86,"Python, Excel, Pandas","SQL, Power BI, Tableau, Statistics"
candidate_0031.pdf,3,Data Scientist,2,33.33,"Python, Pandas","NumPy, Machine Learning, Statistics, Scikit-Learn"
candidate_0031.pdf,4,Data Engineer,2,33.33,"Python, Hadoop","SQL, Spark, ETL, Airflow"
candidate_0031.pdf,5,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0032.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0032.pdf,2,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0032.pdf,3,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0032.pdf,4,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0032.pdf,5,Data Analyst,3,42.86,"Python, SQL, Power BI","Excel, Tableau, Pandas, Statistics"
candidate_0033.pdf,1,Data Engineer,2,33.33,"Python, Spark","SQL, Hadoop, ETL, Airflow"
candidate_0033.pdf,2,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0033.pdf,3,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0033.pdf,4,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0033.pdf,5,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0034.pdf,1,Senior Data Analyst,4,66.67,"Python, SQL, Power BI, Tableau","Statistics, Business Analytics"
candidate_0034.pdf,2,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0034.pdf,3,Business Analyst,3,60.0,"SQL, Power BI, Tableau","Excel, Business Analytics"
candidate_0034.pdf,4,Data Analyst,4,57.14,"Python, SQL, Power BI, Tableau","Excel, Pandas, Statistics"
candidate_0034.pdf,5,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0035.pdf,1,Data Scientist,3,50.0,"Pandas, NumPy, Machine Learning","Python, Statistics, Scikit-Learn"
candidate_0035.pdf,2,Data Analyst,3,42.86,"Excel, Tableau, Pandas","Python, SQL, Power BI, Statistics"
candidate_0035.pdf,3,Business Analyst,2,40.0,"Excel, Tableau","SQL, Power BI, Business Analytics"
candidate_0035.pdf,4,Software Engineer,2,28.57,"C++, OOP","Python, Java, DSA, Git, System Design"
candidate_0035.pdf,5,Financial Analyst,1,25.0,Excel,"SQL, Financial Analysis, Statistics"
candidate_0036.pdf,1,Site Reliability Engineer,2,50.0,"Linux, Docker","Kubernetes, Cloud Computing"
candidate_0036.pdf,2,Platform Engineer,2,50.0,"Docker, Linux","Kubernetes, CI/CD"
candidate_0036.pdf,3,Data Analyst,3,42.86,"SQL, Tableau, Pandas","Python, Excel, Power BI, Statistics"
candidate_0036.pdf,4,Business Analyst,2,40.0,"SQL, Tableau","Excel, Power BI, Business Analytics"
candidate_0036.pdf,5,Cloud Engineer,2,40.0,"Linux, Docker","AWS, Azure, GCP"
candidate_0037.pdf,1,Frontend Developer,2,40.0,"CSS, Git","HTML, JavaScript, React"
candidate_0037.pdf,2,iOS Developer,1,33.33,Git,"Swift, API Development"
candidate_0037.pdf,3,ML Engineer,1,16.67,Git,"Python, Machine Learning, TensorFlow, PyTorch, Docker"
candidate_0037.pdf,4,Full Stack Developer,1,16.67,CSS,"HTML, JavaScript, React, Node.js, MongoDB"
candidate_0037.pdf,5,Software Engineer,1,14.29,Git,"Python, Java, C++, OOP, DSA, System Design"
candidate_0038.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0038.pdf,2,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0038.pdf,3,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0038.pdf,4,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0038.pdf,5,Data Analyst,3,42.86,"Python, SQL, Power BI","Excel, Tableau, Pandas, Statistics"
candidate_0039.pdf,1,Data Scientist,3,50.0,"Python, NumPy, Machine Learning","Pandas, Statistics, Scikit-Learn"
candidate_0039.pdf,2,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0039.pdf,3,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0039.pdf,4,Product Analyst,2,40.0,"SQL, Python","Product Analytics, Statistics, A/B Testing"
candidate_0039.pdf,5,Senior Data Scientist,2,40.0,"Python, Machine Learning","Deep Learning, Statistics, MLOps"
candidate_0040.pdf,1,Financial Analyst,2,50.0,"Excel, SQL","Financial Analysis, Statistics"
candidate_0040.pdf,2,Data Analyst,3,42.86,"SQL, Excel, Pandas","Python, Power BI, Tableau, Statistics"
candidate_0040.pdf,3,Business Analyst,2,40.0,"Excel, SQL","Power BI, Tableau, Business Analytics"
candidate_0040.pdf,4,Frontend Developer,2,40.0,"HTML, JavaScript","CSS, React, Git"
candidate_0040.pdf,5,Full Stack Developer,2,33.33,"HTML, JavaScript","CSS, React, Node.js, MongoDB"
candidate_0041.pdf,1,ML Engineer,3,50.0,"Python, Docker, Git","Machine Learning, TensorFlow, PyTorch"
candidate_0041.pdf,2,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0041.pdf,3,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0041.pdf,4,Financial Analyst,2,50.0,"Excel, SQL","Financial Analysis, Statistics"
candidate_0041.pdf,5,Data Analyst,3,42.86,"Python, SQL, Excel","Power BI, Tableau, Pandas, Statistics"
candidate_0042.pdf,1,Frontend Developer,3,60.0,"CSS, JavaScript, Git","HTML, React"
candidate_0042.pdf,2,Financial Analyst,2,50.0,"Excel, SQL","Financial Analysis, Statistics"
candidate_0042.pdf,3,Business Analyst,2,40.0,"Excel, SQL","Power BI, Tableau, Business Analytics"
candidate_0042.pdf,4,ML Engineer,2,33.33,"Docker, Git","Python, Machine Learning, TensorFlow, PyTorch"
candidate_0042.pdf,5,Data Engineer,2,33.33,"SQL, Spark","Python, Hadoop, ETL, Airflow"
candidate_0043.pdf,1,Business Analyst,1,20.0,Tableau,"Excel, SQL, Power BI, Business Analytics"
candidate_0043.pdf,2,Big Data Engineer,1,20.0,Spark,"Hadoop, Kafka, Scala, Big Data"
candidate_0043.pdf,3,Senior Data Analyst,1,16.67,Tableau,"Python, SQL, Power BI, Statistics, Business Analytics"
candidate_0043.pdf,4,Data Engineer,1,16.67,Spark,"Python, SQL, Hadoop, ETL, Airflow"
candidate_0043.pdf,5,Data Analyst,1,14.29,Tableau,"Python, SQL, Excel, Power BI, Pandas, Statistics"
candidate_0044.pdf,1,Frontend Developer,3,60.0,"HTML, JavaScript, Git","CSS, React"
candidate_0044.pdf,2,Software Engineer,3,42.86,"Java, OOP, Git","Python, C++, DSA, System Design"
candidate_0044.pdf,3,Big Data Engineer,2,40.0,"Spark, Hadoop","Kafka, Scala, Big Data"
candidate_0044.pdf,4,Data Engineer,2,33.33,"Spark, Hadoop","Python, SQL, ETL, Airflow"
candidate_0044.pdf,5,Full Stack Developer,2,33.33,"HTML, JavaScript","CSS, React, Node.js, MongoDB"
candidate_0045.pdf,1,ML Engineer,3,50.0,"Python, Machine Learning, Docker","TensorFlow, PyTorch, Git"
candidate_0045.pdf,2,Senior Data Scientist,2,40.0,"Python, Machine Learning","Deep Learning, Statistics, MLOps"
candidate_0045.pdf,3,Cloud Engineer,2,40.0,"AWS, Docker","Azure, GCP, Linux"
candidate_0045.pdf,4,MLOps Engineer,2,40.0,"Python, Docker","Kubernetes, MLOps, CI/CD"
candidate_0045.pdf,5,Data Scientist,2,33.33,"Python, Machine Learning","Pandas, NumPy, Statistics, Scikit-Learn"
candidate_0046.pdf,1,Business Analyst,4,80.0,"Excel, SQL, Power BI, Tableau",Business Analytics
candidate_0046.pdf,2,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0046.pdf,3,Data Analyst,4,57.14,"SQL, Excel, Power BI, Tableau","Python, Pandas, Statistics"
candidate_0046.pdf,4,Senior Data Analyst,3,50.0,"SQL, Power BI, Tableau","Python, Statistics, Business Analytics"
candidate_0046.pdf,5,Site Reliability Engineer,2,50.0,"Linux, Docker","Kubernetes, Cloud Computing"
candidate_0047.pdf,1,Data Engineer,2,33.33,"Python, Hadoop","SQL, Spark, ETL, Airflow"
candidate_0047.pdf,2,Automation Test Engineer,1,33.33,Python,"Selenium, Automation Testing"
candidate_0047.pdf,3,Software Engineer,2,28.57,"Python, OOP","Java, C++, DSA, Git, System Design"
candidate_0047.pdf,4,Deep Learning Engineer,1,25.0,Python,"Deep Learning, TensorFlow, PyTorch"
candidate_0047.pdf,5,Computer Vision Engineer,1,25.0,Python,"OpenCV, Deep Learning, Computer Vision"
candidate_0048.pdf,1,Data Analyst,3,42.86,"Power BI, Tableau, Pandas","Python, SQL, Excel, Statistics"
candidate_0048.pdf,2,Business Analyst,2,40.0,"Power BI, Tableau","Excel, SQL, Business Analytics"
candidate_0048.pdf,3,Senior Data Analyst,2,33.33,"Power BI, Tableau","Python, SQL, Statistics, Business Analytics"
candidate_0048.pdf,4,BI Developer,1,33.33,Power BI,"SQL, Data Visualization"
candidate_0048.pdf,5,Data Scientist,1,16.67,Pandas,"Python, NumPy, Machine Learning, Statistics, Scikit-Learn"
candidate_0049.pdf,1,Data Engineer,2,33.33,"SQL, Hadoop","Python, Spark, ETL, Airflow"
candidate_0049.pdf,2,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0049.pdf,3,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0049.pdf,4,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0049.pdf,5,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0050.pdf,1,Cybersecurity Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0050.pdf,2,SOC Analyst,1,33.33,Linux,"Cybersecurity, Network Security"
candidate_0050.pdf,3,Ethical Hacker,1,33.33,Linux,"Penetration Testing, Cybersecurity"
candidate_0050.pdf,4,Site Reliability Engineer,1,25.0,Linux,"Docker, Kubernetes, Cloud Computing"
candidate_0050.pdf,5,Platform Engineer,1,25.0,Linux,"Kubernetes, Docker, CI/CD"
candidate_0051.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0051.pdf,2,Software Engineer,4,57.14,"Python, Java, C++, Git","OOP, DSA, System Design"
candidate_0051.pdf,3,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0051.pdf,4,ML Engineer,3,50.0,"Python, Machine Learning, Git","TensorFlow, PyTorch, Docker"
candidate_0051.pdf,5,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0052.pdf,1,Senior Data Analyst,2,33.33,"Python, Tableau","SQL, Power BI, Statistics, Business Analytics"
candidate_0052.pdf,2,Data Engineer,2,33.33,"Python, Spark","SQL, Hadoop, ETL, Airflow"
candidate_0052.pdf,3,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0052.pdf,4,Android Developer,1,33.33,Java,"Android, REST API"
candidate_0052.pdf,5,Automation Test Engineer,1,33.33,Python,"Selenium, Automation Testing"
candidate_0053.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0053.pdf,2,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0053.pdf,3,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0053.pdf,4,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0053.pdf,5,Data Analyst,3,42.86,"Python, SQL, Power BI","Excel, Tableau, Pandas, Statistics"
candidate_0054.pdf,1,Data Engineer,4,66.67,"Python, SQL, Spark, Hadoop","ETL, Airflow"
candidate_0054.pdf,2,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0054.pdf,3,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0054.pdf,4,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0054.pdf,5,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
